id;page;category_group;category;name;description;unit;volume;quantity;price;currency;availability;picture
82;Building mixture;Primers;Тиккурила Грунт;"Тиккурила Грунтовка Отекс ""C"" 2,7л.";tratata;1;шт.;many;562,32;грн.;true;img\decorationmaterials\Building mixture\Primers\otex.jpg
83;Building mixture;Primers;Тиккурила Грунт;Тиккурила Грунтовка Отекс 0,9л.;tratata;1;шт.;many;216,48;грн.;true;img\decorationmaterials\Building mixture\Primers\otex.jpg
84;Building mixture;Primers;Тиккурила Грунт;Тиккурила Грунтовка Отекс 2,7л.;tratata;1;шт.;many;620,93;грн.;true;img\decorationmaterials\Building mixture\Primers\otex.jpg
85;Building mixture;Primers;Тиккурила Грунт;Тиккурила Грунтовка Ростекс Супер красно коричневая 10л.;tratata;1;шт.;many;1884,96;грн.;true;img\decorationmaterials\Building mixture\Primers\rostex_super_12.jpg
86;Building mixture;Primers;Тиккурила Грунт;Тиккурила Грунтовка Ростекс Супер красно коричневая 3л.;tratata;1;шт.;many;685,34;грн.;true;img\decorationmaterials\Building mixture\Primers\rostex_super_12.jpg
87;Building mixture;Primers;Тиккурила Грунт;Тиккурила Грунтовка Ростекс Супер светло-серый 1л.;tratata;1;шт.;many;273,5;грн.;true;img\decorationmaterials\Building mixture\Primers\rostex_super_12.jpg
88;Building mixture;Primers;Тиккурила Грунт;Тиккурила Грунтовка Ростекс Супер серая 3л.;tratata;1;шт.;many;765,6;грн.;true;img\decorationmaterials\Building mixture\Primers\rostex_super_12.jpg
89;Building mixture;Primers;Тиккурила Грунт;Тиккурила Грунтовка унив. Луя 9л;tratata;1;шт.;many;1054,24;грн.;true;img\decorationmaterials\Building mixture\Primers\lua.jpg
90;Building mixture;Primers;Тиккурила Текс грунт;Текс грунтовка ГФ-021 красно-коричневая  (2,5 кг);tratata;1;шт.;many;115,53;грн.;true;img\decorationmaterials\Building mixture\Primers\gf021.jpg
91;Building mixture;Primers;Тиккурила Текс грунт;Текс грунтовка ГФ-021 серая (2,5 кг);tratata;1;шт.;many;101,95;грн.;true;img\decorationmaterials\Building mixture\Primers\gf021.jpg
92;Building mixture;Primers;Тиккурила Текс грунт;Текс грунтовка ГФ-021 сіра (1 кг);tratata;1;шт.;many;46,17;грн.;true;img\decorationmaterials\Building mixture\Primers\gf021.jpg
93;Building mixture;Primers;Грунтовка  Knauf;Грунтовка Бетоконтакт 20кг;tratata;1;шт.;many;793,5;грн.;true;img\decorationmaterials\Building mixture\Primers\large_09Apr2012_22-24-39nauf_etokontakt_454_gruntovka_etokontakt_20kg.jpg
94;Building mixture;Primers;Грунтовка  Knauf;Грунтовка Бетоконтакт 5кг;tratata;1;шт.;many;288,95;грн.;true;img\decorationmaterials\Building mixture\Primers\large_09Apr2012_22-24-39nauf_etokontakt_454_gruntovka_etokontakt_20kg.jpg
95;Building mixture;Primers;Грунтовка  Knauf;Грунтовка Грундирмиттель 15кг*;tratata;1;шт.;many;1324,25;грн.;true;img\decorationmaterials\Building mixture\Primers\large_09Apr2012_22-24-39nauf_etokontakt_454_gruntovka_etokontakt_20kg.jpg
96;Building mixture;Primers;Грунтовка  Knauf;Хафт-эмульсия 5кг;tratata;1;банка;many;329,2;грн.;true;img\decorationmaterials\Building mixture\Primers\902134_1.jpg
97;Building mixture;waterproofing;Битумно-полимерные материалы для гидроизоляции;ВТ-26/5кг грунтовка;tratata;1;шт.;many;224,33;грн.;true;img\decorationmaterials\Building mixture\waterproofing\half.jpg
98;Building mixture;waterproofing;Материалы для гидрофобизации;СТ-13 /10л;tratata;1;банка;many;1444,31;грн.;true;img\decorationmaterials\Building mixture\waterproofing\4219fa522ded63dbce56356bd98de403.png
99;Building mixture;waterproofing;Полимер-цементные материалы для гидроизоляции;СR 65/10;tratata;1;банка;many;83,35;грн.;true;img\decorationmaterials\Building mixture\waterproofing\1475136197-1475135231-1416735403-1400058904645-ceresit-cr-65enl.jpg
100;Building mixture;waterproofing;Полимер-цементные материалы для гидроизоляции;СR 65/25;tratata;1;мешок;many;225,69;грн.;true;img\decorationmaterials\Building mixture\waterproofing\1475136197-1475135231-1416735403-1400058904645-ceresit-cr-65enl.jpg
101;Building mixture;waterproofing;Полимер-цементные материалы для гидроизоляции;СR 66/22,5*;tratata;1;к-т.;many;726,18;грн.;true;img\decorationmaterials\Building mixture\waterproofing\1454509445-CR-66.jpg
102;Building mixture;waterproofing;Полимерные материалы для гидроизоляции;CL 51/14 кг;tratata;1;шт.;many;905,84;грн.;true;img\decorationmaterials\Building mixture\waterproofing\1418230337-1385636767-n8jdy19p-cl-51.jpg
103;Building mixture;waterproofing;Полимерные материалы для гидроизоляции;CL 51/7кг;tratata;1;шт.;many;493,88;грн.;true;img\decorationmaterials\Building mixture\waterproofing\1418230337-1385636767-n8jdy19p-cl-51.jpg
104;Building mixture;waterproofing;Полимерные материалы для гидроизоляции;CL 55/3л;tratata;1;шт.;many;156,77;грн.;true;img\decorationmaterials\Building mixture\waterproofing\cl55.jpg
105;Building mixture;waterproofing;Полимерные материалы для гидроизоляции;Герметик универсальный  AquaBlock серый 1кг;tratata;1;балон;many;140,27;грн.;true;img\decorationmaterials\Building mixture\waterproofing\1042.970x0.jpg
106;Building mixture;waterproofing;Полимерные материалы для гидроизоляции;Герметик универсальный  AquaBlock серый 300мл.;tratata;1;балон;many;148,6;грн.;true;img\decorationmaterials\Building mixture\waterproofing\1042.970x0.jpg
107;Building mixture;waterproofing;Полимерные материалы для гидроизоляции;Герметик универсальный  AquaBlock серый 5кг;tratata;1;балон;many;1583,7;грн.;true;img\decorationmaterials\Building mixture\waterproofing\1042.970x0.jpg
108;Building mixture;waterproofing;Полимерные материалы для гидроизоляции;Герметик универсальный  AquaBlock черный 1кг;tratata;1;балон;many;140,27;грн.;true;img\decorationmaterials\Building mixture\waterproofing\1042.970x0.jpg
109;Building mixture;waterproofing;Полимерные материалы для гидроизоляции;Герметик универсальный  AquaBlock черный 300мл.*;tratata;1;балон;many;148,6;грн.;true;img\decorationmaterials\Building mixture\waterproofing\1042.970x0.jpg
110;Building mixture;waterproofing;Полимерные материалы для гидроизоляции;Герметик универсальный  AquaBlock черный 5кг;tratata;1;балон;many;539,74;грн.;true;img\decorationmaterials\Building mixture\waterproofing\1042.970x0.jpg
111;Building mixture;waterproofing;Полимерные материалы для гидроизоляции;СО-81 30 л.;tratata;1;банка;many;1913,04;грн.;true;img\decorationmaterials\Building mixture\waterproofing\682b.jpg
112;Building mixture;waterproofing;Полимерные материалы для гидроизоляции;СО-85 25 кг;tratata;1;шт;many;360,35;грн.;true;img\decorationmaterials\Building mixture\waterproofing\104864334_w640_h640_packshot_ceres__co_85_25kg.jpg
113;Building mixture;Grouts;Заполнители межплиточных швов;СЕ 33 Plus 100 белый;tratata;1;міш;many;46,52;грн.;true;img\decorationmaterials\Building mixture\Grouts\34-06-077.jpg
114;Building mixture;Grouts;Заполнители межплиточных швов;СЕ 33 Plus 101 молочний;tratata;1;міш;many;46,52;грн.;true;img\decorationmaterials\Building mixture\Grouts\34-06-077.jpg
115;Building mixture;Grouts;Заполнители межплиточных швов;СЕ 33 Plus 110 светло-серый;tratata;1;міш;many;46,52;грн.;true;img\decorationmaterials\Building mixture\Grouts\34-06-077.jpg
116;Building mixture;Grouts;Заполнители межплиточных швов;СЕ 33 Plus 111 серебристо-серый;tratata;1;<>;many;46,52;грн.;true;img\decorationmaterials\Building mixture\Grouts\34-06-077.jpg
117;Building mixture;Grouts;Заполнители межплиточных швов;СЕ 33 Plus 114 серый;tratata;1;міш;many;46,52;грн.;true;img\decorationmaterials\Building mixture\Grouts\34-06-077.jpg
118;Building mixture;Grouts;Заполнители межплиточных швов;СЕ 33 Plus 115 серый цемент;tratata;1;міш;many;49,67;грн.;true;img\decorationmaterials\Building mixture\Grouts\34-06-077.jpg
